City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
238,Vangaindrano,MG,-23.35,47.6,66.02,88,58,10.8,moderate rain,2021-06-06 14:32:40
239,Rocha,UY,-34.4833,-54.3333,57.09,66,2,8.5,clear sky,2021-06-06 14:32:40
240,Kovdor,RU,67.5662,30.4758,60.19,26,11,7.47,few clouds,2021-06-06 14:32:40
241,Mount Gambier,AU,-37.8333,140.7667,53.51,82,40,12.66,scattered clouds,2021-06-06 14:31:32
242,Guerrero Negro,MX,27.9769,-114.0611,63.99,76,100,5.26,overcast clouds,2021-06-06 14:32:41
243,San Rafael,AR,-34.6177,-68.3301,52.59,50,83,2.19,broken clouds,2021-06-06 14:32:41
244,Kieta,PG,-6.2167,155.6333,78.33,86,28,5.19,light rain,2021-06-06 14:32:41
245,Ahipara,NZ,-35.1667,173.1667,60.75,90,100,12.03,overcast clouds,2021-06-06 14:32:42
246,Haines Junction,CA,60.7522,-137.5108,44.55,93,78,2.3,broken clouds,2021-06-06 14:32:42
247,Kloulklubed,PW,7.0419,134.2556,79.3,79,99,8.41,overcast clouds,2021-06-06 14:32:42
248,Juneau,US,58.3019,-134.4197,49.21,95,90,2.1,light rain,2021-06-06 14:30:14
249,Salinas,US,36.6777,-121.6555,56.16,81,90,3.44,overcast clouds,2021-06-06 14:30:36
250,Ambulu,ID,-8.345,113.6058,76.68,90,75,0.67,broken clouds,2021-06-06 14:32:43
251,Namibe,AO,-15.1961,12.1522,84.83,61,0,14.97,clear sky,2021-06-06 14:29:26
252,Morondava,MG,-20.2833,44.2833,77.94,64,21,15.21,few clouds,2021-06-06 14:32:43
253,Koumac,NC,-20.5667,164.2833,69.19,64,100,12.26,overcast clouds,2021-06-06 14:32:44
254,Paamiut,GL,61.994,-49.6678,37.31,98,100,6.46,light rain,2021-06-06 14:32:44
255,Boende,CD,-0.2167,20.8667,72.91,95,100,4.25,overcast clouds,2021-06-06 14:32:44
256,Provideniya,RU,64.3833,-173.3,35.56,81,17,4.97,few clouds,2021-06-06 14:32:45
257,Jalu,LY,29.0331,21.5482,91.0,14,0,13.42,clear sky,2021-06-06 14:32:45
